id,question,heirs,asalMasalah,answers,explanation
361,زوج، جدة، جد، شقيقة، شقيق,زوج | جدة | جد | شقيقة | شقيق,,,
362,زوجة، جدة، شقيقة، جد,زوجة | جدة | شقيقة | جد,,,
363,زوجة، جدة، جد، شقيقة، شقيق,زوجة | جدة | جد | شقيقة | شقيق,,,
364,شقائق، عم,شقائق | عم,,,
365,شقائق، شقيق,شقائق | شقيق,,,
366,زوج، شقائق، عم,زوج | شقائق | عم,,,
367,زوجة، شقائق، عم,زوجة | شقائق | عم,,,
368,زوج، شقائق، شقيق,زوج | شقائق | شقيق,,,
369,زوجة، شقائق، شقيق,زوجة | شقائق | شقيق,,,
370,شقائق، أم، عم,شقائق | أم | عم,,,
371,شقائق، أم، شقيق,شقائق | أم | شقيق,,,
372,شقائق، جد,شقائق | جد,,,
373,شقائق، جد، شقيق,شقائق | جد | شقيق,,,
374,شقائق، جدة، عم,شقائق | جدة | عم,,,
375,شقائق، جدة، شقيق,شقائق | جدة | شقيق,,,
376,زوج، أم، شقائق، عم,زوج | أم | شقائق | عم,,,
377,زوج، أم، شقائق، شقيق,زوج | أم | شقائق | شقيق,,,
378,زوجة، أم، شقائق، عم,زوجة | أم | شقائق | عم,,,
379,زوجة، أم، شقائق، شقيق,زوجة | أم | شقائق | شقيق,,,
380,زوج، شقائق، جد,زوج | شقائق | جد,,,
381,زوج، جد، شقائق، شقيق,زوج | جد | شقائق | شقيق,,,
382,زوجة، شقائق، جد,زوجة | شقائق | جد,,,
383,زوجة، جد، شقائق، شقيق,زوجة | جد | شقائق | شقيق,,,
384,زوج، جدة، شقائق، عم,زوج | جدة | شقائق | عم,,,
385,زوج، جدة، شقائق، شقيق,زوج | جدة | شقائق | شقيق,,,
386,زوجة، جدة، شقائق، عم,زوجة | جدة | شقائق | عم,,,
387,زوجة، جدة، شقائق، شقيق,زوجة | جدة | شقائق | شقيق,,,
388,زوج، أم، أب، شقائق، شقيق,زوج | أم | أب | شقائق | شقيق,,,
389,زوجة، أم، أب، شقائق، شقيق,زوجة | أم | أب | شقائق | شقيق,,,
390,زوج، أم، شقائق، جد,زوج | أم | شقائق | جد,,,
391,زوج، أم، جد، شقائق، شقيق,زوج | أم | جد | شقائق | شقيق,,,
392,زوجة، أم، شقائق، جد,زوجة | أم | شقائق | جد,,,
393,زوجة، أم، جد، شقائق، شقيق,زوجة | أم | جد | شقائق | شقيق,,,
394,زوج، جدة، أب، شقائق، شقيق,زوج | جدة | أب | شقائق | شقيق,,,
395,زوجة، جدة، أب، شقائق، شقيق,زوجة | جدة | أب | شقائق | شقيق,,,
396,زوج، جدة، شقائق، جد,زوج | جدة | شقائق | جد,,,
397,زوج، جدة، جد، شقائق، شقيق,زوج | جدة | جد | شقائق | شقيق,,,
398,زوجة، جدة، شقائق، جد,زوجة | جدة | شقائق | جد,,,
399,زوجة، جدة، جد، شقائق، شقيق,زوجة | جدة | جد | شقائق | شقيق,,,
400,بنت، شقائق,بنت | شقائق,,,
401,بنت، شقائق، شقيق,بنت | شقائق | شقيق,,,
402,زوج، بنت،  شقائق,زوج | بنت | شقائق,,,
403,زوجة، بنت، شقائق,زوجة | بنت | شقائق,,,
404,زوج، بنت، شقائق، شقيق,زوج | بنت | شقائق | شقيق,,,
405,زوجة، بنت، شقائق، شقيق,زوجة | بنت | شقائق | شقيق,,,
406,شقائق، بنت، أم,شقائق | بنت | أم,,,
407,بنت، شقائق، أم، شقيق,بنت | شقائق | أم | شقيق,,,
408,بنت، شقائق، جد,بنت | شقائق | جد,,,
409,بنت، شقائق، جد، شقيق,بنت | شقائق | جد | شقيق,,,
410,بنت، شقائق، جدة,بنت | شقائق | جدة,,,
411,بنت، شقائق، جدة، شقيق,بنت | شقائق | جدة | شقيق,,,
412,زوج، أم، بنت، شقائق,زوج | أم | بنت | شقائق,,,
413,زوج، أم، بنت، شقائق، شقيق,زوج | أم | بنت | شقائق | شقيق,,,
414,زوجة، أم، بنت، شقائق,زوجة | أم | بنت | شقائق,,,
415,زوجة، أم، بنت، شقائق، شقيق,زوجة | أم | بنت | شقائق | شقيق,,,
416,زوج، بنت، شقائق، جد,زوج | بنت | شقائق | جد,,,
417,زوج، جد، بنت، شقائق، شقيق,زوج | جد | بنت | شقائق | شقيق,,,
418,زوجة، بنت، شقائق، جد,زوجة | بنت | شقائق | جد,,,
419,زوجة، جد، بنت، شقائق، شقيق,زوجة | جد | بنت | شقائق | شقيق,,,
420,زوج، جدة، بنت، شقائق، عم,زوج | جدة | بنت | شقائق | عم,,,
421,زوج، جدة، بنت، شقائق، شقيق,زوج | جدة | بنت | شقائق | شقيق,,,
422,زوجة، جدة، بنت، شقائق,زوجة | جدة | بنت | شقائق,,,
423,زوجة، جدة، بنت، شقائق، شقيق,زوجة | جدة | بنت | شقائق | شقيق,,,
424,زوج، أم، بنت، شقائق، جد,زوج | أم | بنت | شقائق | جد,,,
425,زوج، أم، بنت، جد، شقائق، شقيق,زوج | أم | بنت | جد | شقائق | شقيق,,,
426,زوجة، أم، بنت، شقائق، جد,زوجة | أم | بنت | شقائق | جد,,,
427,زوجة، أم، جد، بنت، شقائق، شقيق,زوجة | أم | جد | بنت | شقائق | شقيق,,,
428,زوج، جدة، بنت، شقائق، جد,زوج | جدة | بنت | شقائق | جد,,,
429,زوج، جدة، جد، بنت، شقائق، شقيق,زوج | جدة | جد | بنت | شقائق | شقيق,,,
430,زوجة، جدة، بنت، شقائق، جد,زوجة | جدة | بنت | شقائق | جد,,,
431,زوجة، جدة، جد، بنت، شقائق، شقيق,زوجة | جدة | جد | بنت | شقائق | شقيق,,,
432,أخت لأب/أخوات لأب,أخت لأب/أخوات لأب,,,
433,أخت لأب/أخوات لأب,أخت لأب/أخوات لأب,,,
434,أخت لأب، عم,أخت لأب | عم,,,
435,أخت لأب، أخ لأب,أخت لأب | أخ لأب,,,
436,زوج، أخت لأب، عم,زوج | أخت لأب | عم,,,
437,زوجة، أخت لأب، عم,زوجة | أخت لأب | عم,,,
438,زوج، أخت لأب، أخ لأب,زوج | أخت لأب | أخ لأب,,,
439,زوجة، أخت لأب، أخ لأب,زوجة | أخت لأب | أخ لأب,,,
440,أخت لأب، أم، عم,أخت لأب | أم | عم,,,
441,أخت لأب، أم، أخ لأب,أخت لأب | أم | أخ لأب,,,
442,أخت لأب، جد,أخت لأب | جد,,,
443,أخت لأب، جد، أخ لأب,أخت لأب | جد | أخ لأب,,,
444,أخت لأب، جدة، عم,أخت لأب | جدة | عم,,,
445,أخت لأب، جدة، أخ لأب,أخت لأب | جدة | أخ لأب,,,
446,زوج، أم، أخت لأب، عم,زوج | أم | أخت لأب | عم,,,
447,زوج، أم، أخت لأب، أخ لأب,زوج | أم | أخت لأب | أخ لأب,,,
448,زوجة، أم، أخت لأب، عم,زوجة | أم | أخت لأب | عم,,,
449,زوجة، أم، أخت لأب، أخ لأب,زوجة | أم | أخت لأب | أخ لأب,,,
450,زوج، أخت لأب، جد,زوج | أخت لأب | جد,,,
451,زوج، جد، أخت لأب، أخ لأب,زوج | جد | أخت لأب | أخ لأب,,,
452,زوجة، أخت لأب، جد,زوجة | أخت لأب | جد,,,
453,زوجة، جد، أخت لأب، أخ لأب,زوجة | جد | أخت لأب | أخ لأب,,,
454,زوج، جدة، أخت لأب، عم,زوج | جدة | أخت لأب | عم,,,
455,زوج، جدة، أخت لأب، أخ لأب,زوج | جدة | أخت لأب | أخ لأب,,,
456,زوجة، جدة، أخت لأب، عم,زوجة | جدة | أخت لأب | عم,,,
457,زوجة، جدة، أخت لأب، أخ لأب,زوجة | جدة | أخت لأب | أخ لأب,,,
458,زوج، أم، أخت لأب، جد,زوج | أم | أخت لأب | جد,,,
459,زوج، أم، جد، أخت لأب، أخ لأب,زوج | أم | جد | أخت لأب | أخ لأب,,,
460,زوجة، أم، أخت لأب، جد,زوجة | أم | أخت لأب | جد,,,
461,زوجة، أم، جد، أخت لأب، أخ لأب,زوجة | أم | جد | أخت لأب | أخ لأب,,,
462,زوج، جدة، أخت لأب، جد,زوج | جدة | أخت لأب | جد,,,
463,زوج، جدة، جد، أخت لأب، أخ لأب,زوج | جدة | جد | أخت لأب | أخ لأب,,,
464,زوجة، جدة، أخت لأب، جد,زوجة | جدة | أخت لأب | جد,,,
465,زوجة، جدة، جد، أخت لأب، أخ لأب,زوجة | جدة | جد | أخت لأب | أخ لأب,,,
466,أخوات لأب، عم,أخوات لأب | عم,,,
467,أخوات لأب، أخ لأب,أخوات لأب | أخ لأب,,,
468,زوج، أخوات لأب، عم,زوج | أخوات لأب | عم,,,
469,زوجة، أخوات لأب، عم,زوجة | أخوات لأب | عم,,,
470,زوج، أخوات لأب، أخ لأب,زوج | أخوات لأب | أخ لأب,,,
471,زوجة، أخوات لأب، أخ لأب,زوجة | أخوات لأب | أخ لأب,,,
472,أخوات لأب، أم، عم,أخوات لأب | أم | عم,,,
473,أخوات لأب، أم، أخ لأب,أخوات لأب | أم | أخ لأب,,,
474,أخوات لأب، جد,أخوات لأب | جد,,,
475,أخوات لأب، جد، أخ لأب,أخوات لأب | جد | أخ لأب,,,
476,أخوات لأب، جدة، عم,أخوات لأب | جدة | عم,,,
477,أخوات لأب، جدة، أخ لأب,أخوات لأب | جدة | أخ لأب,,,
478,زوج، أب، أخوات لأب، أخ لأب,زوج | أب | أخوات لأب | أخ لأب,,,
479,زوج، أم، أخوات لأب، عم,زوج | أم | أخوات لأب | عم,,,
480,زوج، أم، أخوات لأب، أخ لأب,زوج | أم | أخوات لأب | أخ لأب,,,
481,زوجة، أم، أخوات لأب، عم,زوجة | أم | أخوات لأب | عم,,,
482,زوجة، أم، أخوات لأب، أخ لأب,زوجة | أم | أخوات لأب | أخ لأب,,,
483,زوج، أخوات لأب، جد,زوج | أخوات لأب | جد,,,
484,زوج، جد، أخوات لأب، أخ لأب,زوج | جد | أخوات لأب | أخ لأب,,,
485,زوجة، أخوات لأب، جد,زوجة | أخوات لأب | جد,,,
486,زوجة، جد، أخوات لأب، أخ لأب,زوجة | جد | أخوات لأب | أخ لأب,,,
487,زوج، جدة، أخوات لأب، عم,زوج | جدة | أخوات لأب | عم,,,
488,زوج، جدة، أخوات لأب، أخ لأب,زوج | جدة | أخوات لأب | أخ لأب,,,
489,زوجة، جدة، أخوات لأب، عم,زوجة | جدة | أخوات لأب | عم,,,
490,زوجة، جدة، أخوات لأب، أخ لأب,زوجة | جدة | أخوات لأب | أخ لأب,,,
491,زوج، أم، أب، أخوات لأب، أخ لأب,زوج | أم | أب | أخوات لأب | أخ لأب,,,
492,زوجة، أم، أب، أخوات لأب، أخ لأب,زوجة | أم | أب | أخوات لأب | أخ لأب,,,
493,زوج، أم، أخوات لأب، جد,زوج | أم | أخوات لأب | جد,,,
494,زوج، أم، جد، أخوات لأب، أخ لأب,زوج | أم | جد | أخوات لأب | أخ لأب,,,
495,زوجة، أم، أخوات لأب، جد,زوجة | أم | أخوات لأب | جد,,,
496,زوجة، أم، جد، أخوات لأب، أخ لأب,زوجة | أم | جد | أخوات لأب | أخ لأب,,,
497,زوج، جدة، أب، أخوات لأب، أخ لأب,زوج | جدة | أب | أخوات لأب | أخ لأب,,,
498,زوجة، جدة، أب، أخوات لأب، أخ لأب,زوجة | جدة | أب | أخوات لأب | أخ لأب,,,
499,زوج، جدة، أخوات لأب، جد,زوج | جدة | أخوات لأب | جد,,,
500,زوج، جدة، جد، أخوات لأب، أخ لأب,زوج | جدة | جد | أخوات لأب | أخ لأب,,,
501,زوجة، جدة، أخوات لأب، جد,زوجة | جدة | أخوات لأب | جد,,,
502,زوجة، جدة، جد، أخوات لأب، أخ لأب,زوجة | جدة | جد | أخوات لأب | أخ لأب,,,
503,بنت، أخوات لأب,بنت | أخوات لأب,,,
504,بنت، أخوات لأب، أخ لأب,بنت | أخوات لأب | أخ لأب,,,
505,زوج، بنت،  أخوات لأب,زوج | بنت | أخوات لأب,,,
506,زوجة، بنت، أخوات لأب,زوجة | بنت | أخوات لأب,,,
507,زوج، بنت، أخوات لأب، أخ لأب,زوج | بنت | أخوات لأب | أخ لأب,,,
508,زوجة، بنت، أخوات لأب، أخ لأب,زوجة | بنت | أخوات لأب | أخ لأب,,,
509,أخوات لأب، بنت، أم,أخوات لأب | بنت | أم,,,
510,بنت، أخوات لأب، أم، أخ لأب,بنت | أخوات لأب | أم | أخ لأب,,,
511,بنت، أخوات لأب، جد,بنت | أخوات لأب | جد,,,
512,بنت، أخوات لأب، جد، أخ لأب,بنت | أخوات لأب | جد | أخ لأب,,,
513,بنت، أخوات لأب، جدة,بنت | أخوات لأب | جدة,,,
514,بنت، أخوات لأب، جدة، أخ لأب,بنت | أخوات لأب | جدة | أخ لأب,,,
515,زوج، أم، بنت، أخوات لأب,زوج | أم | بنت | أخوات لأب,,,
516,زوج، أم، بنت، أخوات لأب، أخ لأب,زوج | أم | بنت | أخوات لأب | أخ لأب,,,
517,زوجة، أم، بنت، أخوات لأب,زوجة | أم | بنت | أخوات لأب,,,
518,زوجة، أم، بنت، أخوات لأب، أخ لأب,زوجة | أم | بنت | أخوات لأب | أخ لأب,,,
519,زوج، بنت، أخوات لأب، جد,زوج | بنت | أخوات لأب | جد,,,
520,زوج، جد، بنت، أخوات لأب، أخ لأب,زوج | جد | بنت | أخوات لأب | أخ لأب,,,
521,زوجة، بنت، أخوات لأب، جد,زوجة | بنت | أخوات لأب | جد,,,
522,زوجة، جد، بنت، أخوات لأب، أخ لأب,زوجة | جد | بنت | أخوات لأب | أخ لأب,,,
523,زوج، جدة، بنت، أخوات لأب، عم,زوج | جدة | بنت | أخوات لأب | عم,,,
524,زوج، جدة، بنت، أخوات لأب، أخ لأب,زوج | جدة | بنت | أخوات لأب | أخ لأب,,,
525,زوجة، جدة، بنت، أخوات لأب,زوجة | جدة | بنت | أخوات لأب,,,
526,زوجة، جدة، بنت، أخوات لأب، أخ لأب,زوجة | جدة | بنت | أخوات لأب | أخ لأب,,,
527,زوج، أم، بنت، أخوات لأب، جد,زوج | أم | بنت | أخوات لأب | جد,,,
528,زوج، أم، بنت، جد، أخوات لأب، أخ لأب,زوج | أم | بنت | جد | أخوات لأب | أخ لأب,,,
529,زوجة، أم، بنت، أخوات لأب، جد,زوجة | أم | بنت | أخوات لأب | جد,,,
530,زوجة، أم، جد، بنت، أخوات لأب، أخ لأب,زوجة | أم | جد | بنت | أخوات لأب | أخ لأب,,,
531,زوج، جدة، بنت، أخوات لأب، جد,زوج | جدة | بنت | أخوات لأب | جد,,,
532,زوج، جدة، جد، بنت، أخوات لأب، أخ لأب,زوج | جدة | جد | بنت | أخوات لأب | أخ لأب,,,
533,زوجة، جدة، بنت، أخوات لأب، جد,زوجة | جدة | بنت | أخوات لأب | جد,,,
534,زوجة، جدة، جد، بنت، أخوات لأب، أخ لأب,زوجة | جدة | جد | بنت | أخوات لأب | أخ لأب,,,
535,ولد الأم/أولاد الأم,ولد الأم/أولاد الأم,,,
536,ولد الأم، عم,ولد الأم | عم,,,
537,زوج، ولد الأم، عم,زوج | ولد الأم | عم,,,
538,زوجة، ولد الأم، عم,زوجة | ولد الأم | عم,,,
539,ولد الأم، أم، عم,ولد الأم | أم | عم,,,
540,ولد الأم، جد,ولد الأم | جد,,,
541,ولد الأم، جدة، عم,ولد الأم | جدة | عم,,,
542,زوج، أم، ولد الأم، عم,زوج | أم | ولد الأم | عم,,,
543,زوجة، أم، ولد الأم، عم,زوجة | أم | ولد الأم | عم,,,
544,زوج، ولد الأم، جد,زوج | ولد الأم | جد,,,
545,زوجة، ولد الأم، جد,زوجة | ولد الأم | جد,,,
546,زوج، جدة، ولد الأم، عم,زوج | جدة | ولد الأم | عم,,,
547,زوجة، جدة، ولد الأم، عم,زوجة | جدة | ولد الأم | عم,,,
548,زوج، أم، ولد الأم، جد,زوج | أم | ولد الأم | جد,,,
549,زوجة، أم، ولد الأم، جد,زوجة | أم | ولد الأم | جد,,,
550,زوج، جدة، ولد الأم، جد,زوج | جدة | ولد الأم | جد,,,
551,زوجة، جدة، ولد الأم، جد,زوجة | جدة | ولد الأم | جد,,,
552,أولاد الأم، عم,أولاد الأم | عم,,,
553,زوج، أولاد الأم، عم,زوج | أولاد الأم | عم,,,
554,زوجة، أولاد الأم، عم,زوجة | أولاد الأم | عم,,,
555,أولاد الأم، أم، عم,أولاد الأم | أم | عم,,,
556,أولاد الأم، جد,أولاد الأم | جد,,,
557,أولاد الأم، جدة، عم,أولاد الأم | جدة | عم,,,
558,زوج، أم، أولاد الأم، عم,زوج | أم | أولاد الأم | عم,,,
559,زوجة، أم، أولاد الأم، عم,زوجة | أم | أولاد الأم | عم,,,
560,زوج، أولاد الأم، جد,زوج | أولاد الأم | جد,,,
561,زوجة، أولاد الأم، جد,زوجة | أولاد الأم | جد,,,
562,زوج، جدة، أولاد الأم، عم,زوج | جدة | أولاد الأم | عم,,,
563,زوجة، جدة، أولاد الأم، عم,زوجة | جدة | أولاد الأم | عم,,,
564,زوج، أم، أولاد الأم، جد,زوج | أم | أولاد الأم | جد,,,
565,زوجة، أم، أولاد الأم، جد,زوجة | أم | أولاد الأم | جد,,,
566,زوج، جدة، أولاد الأم، أب,زوج | جدة | أولاد الأم | أب,,,
567,زوجة، جدة، أولاد الأم، أب,زوجة | جدة | أولاد الأم | أب,,,
568,زوج، جدة، أولاد الأم، جد,زوج | جدة | أولاد الأم | جد,,,
569,زوجة، جدة، أولاد الأم، جد,زوجة | جدة | أولاد الأم | جد,,,
570,بنت، أولاد الأم,بنت | أولاد الأم,,,
571,زوج، بنت،  أولاد الأم,زوج | بنت | أولاد الأم,,,
572,زوجة، بنت، أولاد الأم,زوجة | بنت | أولاد الأم,,,
573,أولاد الأم، بنت، أم,أولاد الأم | بنت | أم,,,
574,بنت، أولاد الأم، جد,بنت | أولاد الأم | جد,,,
575,بنت، أولاد الأم، جدة,بنت | أولاد الأم | جدة,,,
